window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
24,1995-05-26 00:00:00-04:00,1996-05-23 00:00:00-04:00,1997-05-22 00:00:00-04:00,0.31850627064704895,0.12477155029773712,0.32255580366718867,-60.82603019266705,-0.05753057063942491,-1.03669660329462,-1.400326356414678,-51.61705669858934,41.89354682454983,-38.14659122882053,0.06511222690612187,0.07813467228734623,34.00432200614133,39.55815441712706,-56.679716519324394,True,-70.5871175035074,False,0.30515,False
25,1995-11-24 00:00:00-05:00,1996-11-20 00:00:00-05:00,1997-11-19 00:00:00-05:00,0.30160847306251526,0.13696637749671936,0.29424511329429315,-54.588020652745406,1.5052371234909359,-0.7562066366429157,-1.305919877580354,-57.81239622713249,51.39847008411048,-37.79169710466122,-0.07370446991336897,-0.08844536389604277,26.5007482007218,37.67195681123774,-42.048199680959755,True,-54.95635083251793,False,0.5004,False
26,1996-05-24 00:00:00-04:00,1997-05-22 00:00:00-04:00,1998-05-22 00:00:00-04:00,0.20075935125350952,0.20920278131961823,0.1974218573888702,4.205746837389774,0.21058737717536183,-0.7235107225168188,-1.1556303753450168,-42.588079756913835,52.72746175950783,-37.850192522199656,-0.055500711666601234,-0.06660085399992148,30.271588058543077,42.37045917830092,-51.545763694406205,False,-61.731975012576875,False,0.35755,False
27,1996-11-21 00:00:00-05:00,1997-11-19 00:00:00-05:00,1998-11-19 00:00:00-05:00,0.18387316167354584,0.2683044373989105,0.186307257247195,45.918216099022985,-0.7025991380975559,-0.21759126624940464,-0.3685018438213545,-48.267446531838175,64.14532483889366,-25.510402796089537,0.04932510762419842,0.0591901291490381,33.39516883369289,40.2792105095554,-62.634315806824446,False,-70.44102741963675,False,0.26315,False
28,1997-05-23 00:00:00-04:00,1998-05-22 00:00:00-04:00,1999-05-24 00:00:00-04:00,0.1266476958990097,0.31474217772483826,0.12100212555706867,148.5178869545461,-3.0210610765624213,0.9896400480713532,2.0108492461802983,-55.67473319466153,70.0495846602178,65.18483011837726,0.018175911465932358,0.02181109375911883,41.93274674097289,36.64502848657213,-71.60054729302465,False,-79.7334641357042,False,0.1102,True
29,1997-11-20 00:00:00-05:00,1998-11-19 00:00:00-05:00,1999-11-19 00:00:00-05:00,0.1388433575630188,0.6937463879585266,0.13454594794135777,399.66120103631613,-1.7671706002588656,1.3210442415143673,2.5710412881491753,-28.866086467448753,60.327119691177025,93.24254477001638,-0.11964080531851717,-0.1435689663822206,43.32579430786012,57.0627341736203,-72.99202892783799,False,-80.9662362303767,False,0.1749,True
30,1998-05-26 00:00:00-04:00,1999-05-24 00:00:00-04:00,2000-05-22 00:00:00-04:00,0.20029021799564362,0.6749833226203918,0.21291768152640334,237.00264015643188,1.775741308672911,0.99267893845588,1.6824493056314347,-30.779753691876333,59.17334167132834,57.14306014269953,0.15073233962858987,0.18087880755430782,36.94610090131736,47.131345625269255,-60.46350453516023,False,-75.78121949889268,False,0.4007,True
31,1998-11-20 00:00:00-05:00,1999-11-19 00:00:00-05:00,2000-11-17 00:00:00-05:00,0.2650212347507477,0.27768585085868835,0.27646593519455875,4.778717494034672,3.04187954354026,1.841637918888974,2.9876213201695214,-30.779753691876337,60.11859548062366,161.77011385936478,-0.0651147538218934,-0.07813770458627207,34.658149901619105,58.65766557386017,-56.25480366320163,False,-72.81654542798086,False,0.4977,True
32,1999-05-25 00:00:00-04:00,2000-05-22 00:00:00-04:00,2001-05-22 00:00:00-04:00,0.31145891547203064,0.35273653268814087,0.3321785517791853,13.252989452413672,5.539891151668508,1.4483694927447137,2.621930394241495,-37.624628562653434,65.64569560947025,116.71664835711088,0.06729759785309108,0.0807571174237093,31.53315762430784,69.48061701141111,-43.191879931668645,False,-61.175940329448146,False,0.66405,True
33,1999-11-22 00:00:00-05:00,2000-11-17 00:00:00-05:00,2001-11-26 00:00:00-05:00,0.6801433563232422,0.32076483964920044,0.750969118555556,-52.83864252042255,8.248364472990989,-0.5637281600112491,-0.6340001730208862,-74.33898363152976,86.56911979925172,-59.17245264883297,0.24236764842769054,0.2908411781132286,26.921963167269794,71.00224088432587,-12.470688297859022,True,-45.02846526397297,True,0.85425,False
