window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
11,1988-12-02 00:00:00-05:00,1989-11-30 00:00:00-05:00,1990-11-29 00:00:00-05:00,0.2725496292114258,0.26089656352996826,0.2790814058797693,-4.27557568695786,3.71769993626054,0.4446498614663956,0.5641305812321631,-22.921825914000056,31.070696975242036,13.846119864655392,0.005021441140039933,0.00602572936804792,29.11679969194324,38.3060322668167,-44.345592630167246,False,-58.765915583735726,False,0.6288,True
12,1989-06-05 00:00:00-04:00,1990-06-01 00:00:00-04:00,1991-05-31 00:00:00-04:00,0.3279825747013092,0.3352214992046356,0.34899694849144863,2.2071064323825254,2.0640506294186487,-0.297354949990111,-0.4138588103090267,-34.444606809414736,36.19006957357487,-12.354918357743005,0.178519601531769,0.2142235218381228,28.56904248900124,35.43921506159806,-48.493310026986144,False,-64.1074775822691,False,0.49825,False
13,1989-12-01 00:00:00-05:00,1990-11-29 00:00:00-05:00,1991-11-27 00:00:00-05:00,0.30853432416915894,0.3654487133026123,0.316858442279904,18.44669609668749,2.1178009251968692,-0.2503034748988688,-0.3689833407537195,-47.07012690159778,44.31623661668369,-15.440019766835569,0.0043435720194869515,0.0052122864233843415,20.115993403605632,30.02303335086508,-31.5306301541734,False,-46.563758916146654,False,0.65465,False
14,1990-06-04 00:00:00-04:00,1991-05-31 00:00:00-04:00,1992-05-29 00:00:00-04:00,0.287460595369339,0.42894911766052246,0.2883897424161004,49.22014515046638,0.3232258826875353,0.4799837567575595,0.6763655067657655,-47.07012690159777,50.580040086698006,16.614765503401195,0.10596181733037843,0.1271541807964541,23.148486178066097,35.14117104808219,-44.23883234119814,False,-53.792382315579374,False,0.41485,True
15,1990-11-30 00:00:00-05:00,1991-11-27 00:00:00-05:00,1992-11-25 00:00:00-05:00,0.26089656352996826,0.4075251817703247,0.26215710127964953,56.20182046725722,0.48315613384324174,0.8684012949041169,1.2037097883424732,-43.32611782341125,47.31703714937879,40.0741766614471,0.02744126223266605,0.03292951467919926,25.83878483078832,43.59011419764195,-46.525612874523695,False,-62.812519832278014,False,0.40905,True
16,1991-06-03 00:00:00-04:00,1992-05-29 00:00:00-04:00,1993-05-27 00:00:00-04:00,0.351269006729126,0.4165270924568176,0.33767130194025746,18.57780916550207,0.7308011990383665,0.6144556135200313,0.9972132634607159,-22.36136266338814,37.2929790177924,22.11413743977075,-0.0760213613167327,-0.09122563358007925,28.489735638869796,52.15422969280362,-52.979018273589745,False,-65.25851277980945,False,0.39565,True
17,1991-11-29 00:00:00-05:00,1992-11-25 00:00:00-05:00,1993-11-24 00:00:00-05:00,0.36365729570388794,0.24146904051303864,0.3711545671199363,-33.599836063881,1.5613281999981279,0.38400849091322253,0.602891137389669,-37.81251050816194,35.93828751741737,12.062974285041346,-0.007114864732810381,-0.008537837679372457,28.608094137692714,45.49297413824672,-48.069494401198824,False,-63.42532515270655,False,0.47645,True
18,1992-06-01 00:00:00-04:00,1993-05-27 00:00:00-04:00,1994-05-26 00:00:00-04:00,0.4136265516281128,0.2239774465560913,0.43966399886082763,-45.85032182424618,2.4979375779448856,0.07277028130525151,0.10979797611852254,-27.14918220482778,34.25160951906898,0.701246285396272,-0.0539558182077991,-0.06474698184935891,26.673540790469673,35.710590962750736,-45.80003947200618,True,-60.56178492964715,False,0.58855,True
19,1992-11-27 00:00:00-05:00,1993-11-24 00:00:00-05:00,1994-11-23 00:00:00-05:00,0.4075251817703247,0.2736242711544037,0.4181108057236712,-32.85708874093224,2.5975386127948292,-0.9052513074061322,-1.1479909073130883,-64.88961271681798,48.922897356354326,-40.74745529489093,0.12839363418884664,0.15407236102661595,24.609935970458736,38.37072404139415,-37.599647363961246,False,-56.04917666895329,False,0.6215,False
20,1993-05-28 00:00:00-04:00,1994-05-26 00:00:00-04:00,1995-05-25 00:00:00-04:00,0.4110458195209503,0.3227413594722748,0.4225458629312394,-21.482875109054554,1.4449889535206513,-0.9146141621582498,-1.3063619814302885,-60.13234585927428,54.54508588251608,-45.510345582124195,0.04674174529465376,0.05609009435358451,22.875232779623985,33.14890586069313,-40.10549159904929,False,-52.045289715835246,False,0.55035,False
21,1993-11-26 00:00:00-05:00,1994-11-23 00:00:00-05:00,1995-11-22 00:00:00-05:00,0.23872524499893188,0.28988179564476013,0.23918535047828196,21.42904938522825,-0.9457485853692108,0.43426755956202817,0.8551295910352021,-33.838307121029295,44.98073825695576,14.618908928390859,0.12374640148657279,0.14849568178388733,31.935687718051042,48.57813956299986,-60.26755664755565,False,-73.20541607425001,False,0.24145,True
